Chapter_Name,Category,Question_Text,Answer_or_Hint
Chapter 1 : Partnership Final Accounts,Extra_Practical,"From the following Trial Balance of M/s. Ram and Shyam you are require to prepare Trading and Profit and Loss Account for the year ended 31st March, 2019 and Balance Sheet as on that date.",
,,"Trial balance as on 31st March, 2020",
,,Particulars | Debit ₹ | Credit ₹,
,,Purchases and Sales | 93400 | 170000,
,,Sundry Debtors and Creditors | 56000 | 50000,
,,Bills Receivable and Payable | 10000 | 12000,
,,Commission |  | 3600,
,,Wages | 9200 | ,
,,Salaries | 7200 | ,
,,Plant and Machinery | 21000 | ,
,,Furniture | 81400 | ,
,,Cash in Hand | 36000 | ,
,,Carriage | 19800 | ,
,,Bad Debts | 2400 | ,
,,Prepaid Rent | 5000 | ,
,,Capital Account: Ram |  | 120000,
,,Capital Account: Shyam |  | 70000,
,,Adjustment: ,
,,"1. The closing stock is valued at ₹. 72,000.",
,,"2. Outstanding expenses were: Wages ₹. 2,800, Salaries ₹. 1,600.",
,,3. Depreciate Plant and Machinery  by 20% ,
,,4. Insurance of ₹. 100 is paid in advance.,
,,"5. Provide for further Bad debts of ₹. 3,000.",
,,"6. Commission due but not received ₹. 2,400.",
Chapter 1 : Partnership Final Accounts,Extra_Practical,"""From the Trial Balance of M/s. Virat and Dhoni, you are required to prepare Trading and Profit and Loss account for the year ended 31st March, 2024 and Balance Sheet as on that date. They share profit and losses in their capital ratio.",
,,Particulars | Debit ₹ | Credit ₹,
,,Opening Stock | 14000 | ,
,,Purchases and Sales | 58200 | 106000,
,,Trade Expenses | 1200 | ,
,,Royalties | 3100 | ,
,,Sundry Debtors and Creditors | 30000 | 27000,
,,Bills Receivable and Payable | 8000 | 18000,
,,Reserve for Doubtful Debts  |  | 900,
,,Wages & Salaries | 7400 | ,
,,Advertisement  | 4100 | ,
,,Salaries | 5500 | ,
,,Plant & Machinery | 22000 | ,
,,Free Hold Property  | 18000 | ,
,,Office Rent | 2000 | ,
,,Motor Van | 31500 | ,
,,Cash in Hand | 5000 | ,
,,Bad Debts | 500 | ,
,,General Expenses | 1400 | ,
,,Capital Account: Virat |  | 40000,
,,Capital Account: Dhoni |  | 20000,
,,Adjustments:,
,,"1. Closing Stock was value at cost ₹.38,000 while its market price was ₹. 40,000.",
,,"2. Uninsured goods worth ₹.5,000 was stolen.",
,,"3. Goods worth ₹.5,000 were sold and delivered on 31st March, 2024, but no entry is passed sales book.",
,,4. Depreciate Plant and Machinery at 5% and Motor Van at 7.5% p.a.,
,,"5. Bills Receivable includes a dishonoured bill at ₹.2,000.",
,,6. Create a reserve for doubtful debts at 5% on Debtors.,
Chapter 1 : Partnership Final Accounts,Extra_Practical,"Radha and Rani are in partnership sharing profits and losses in the ratio 3 : 2. From the following Trial Balance and adjustments given below, you are required to prepare Trading and Profit and Loss account for the year ended 31st March, 2023 and Balance Sheet as on that date.",
,,Particulars | Debit ₹ | Credit ₹,
,,Opening Stock | 42000 | ,
,,Purchases and Sales | 174600 | 318000,
,,Trade Expenses | 3600 | ,
,,Royalties | 9300 | ,
,,Sundry Debtors and Creditors | 90000 | 81000,
,,Bills Receivable and Payable | 24000 | 54000,
,,Reserve for Doubtful Debts  |  | 2700,
,,Wages  | 22200 | ,
,,Advertisement  | 12300 | ,
,,Salaries | 16500 | ,
,,Plant & Machinery | 66000 | ,
,,Free Hold Property  | 54000 | ,
,,Office Rent | 6000 | ,
,,Motor Van | 94500 | ,
,,Cash in Hand | 15000 | ,
,,Bad Debts | 1500 | ,
,,General Expenses | 4200 | ,
,,Capital Account: Virat |  | 120000,
,,Capital Account: Dhoni |  | 60000,
,,Adjustments:,
,,"1. Stock on hand on 31st March, 2023 was valued at ₹.1,65,000.",
,,2. Depreciate Plant and Machinery at 10% p.a. and Building at 5% p.a.,
,,"3. Prepaid Insurance ₹.2,250.",
,,4. Create R.D.D at 5% on Sundry Debtors.,
,,5. Partners are allowed interest at 5% p.a. on their capitals,
,,"6. Salaries include ₹. 2,500 as advance to workers",
Chapter 1 : Partnership Final Accounts,Exercise_Problems,"Amitbhai and Narendrabhai are in Partnership Sharing Profits and Losses equally. From the following Trial Balance and Adjustments given below, you are required to prepare Trading and Profit and Loss Account for the year ended 31st  March, 2019 and Balance Sheet as on that date.","G.P. ₹.131500, N.P. ₹. 112086, Balance Sheet Total ₹. 819586"
,,"Trial Balance as on 31st March, 2019",
,,Particulars | Debit ₹ | Particulars | Credit ₹,
,,Plant & Machinery | 280000 | Discount | 1200,
,,Factory Building | 75000 | Bank Loan | 15000,
,,Sundry Debtors | 28700 | Sundry Creditors | 38500,
,,Purchases | 85500 | Sales | 180000,
,,Bad Debts | 500 | R.D.D. | 2700,
,,Sales Return | 2200 | Purchases Return | 2000,
,,"10% Govt. Bond 
(Purchased on 1st Oct, 2018) | 40000 | Bills Payable | 8500",
,,Import Duty | 1800 | Capital A/c : Amitbhai | 350000,
,,Legal Charges | 2000 | Capital A/c : Narendrabhai | 300000,
,,Motive Power | 12000 |,
,,Warehouse Rent | 1800 |,
,,Cash in Hand | 20000 |,
,,Cash at Bank | 70000 |,
,,"Advertisement (for 2 years, w.e.f 1st Jan 2019) | 10000 |",
,,Salaries | 3800 |,
,,Rent | 1500 |,
,,Drawings : Amitbhai | 2400 |,
,,Drawings : Narendrabhai | 3200 |,
,,Furniture | 195800 | ,
,,Bills Receivable | 20700 |,
,,Free hold Property | 41000 |,
,," | 897900 | | 8,97,900",
,,Adjustments :,
,,"1. Stock on hand on 31st March 2019 was valued at ₹. 43,000.",
,,"2. Uninsured Goods worth ₹. 8,000 were stolen.",
,,3. Create R.D.D at 2% on Sundry debtors.,
,,"4. Mr. Patil, our customer become insolvent and could not pay his debts of ₹. 500.",
,,5. Outstanding Expenses - Rent ₹. 800 and Salaries ₹. 300,
,,"6. Depreciate Factory Building by ₹. 2,500 and Furniture by ₹. 1,800",
Chapter 1 : Partnership Final Accounts,Exercise_Problems,Sun and Moon are Partners in Partnership Firm sharing Profits and Losses equally. You are required to give effects of Adjustments with the help of following information.,
,,"Trial Balance as on 31st March, 2019 ",
,,Debit Balance | Amount ₹. | Credit Balance | Amount ₹.,
,,Land & Building | 40000 | Capital A/C Sun | 33500,
,,Furniture  | 18000 | Moon | 33500,
,,"Machinery
(Purchased on 1/7/18) | 40000 | Current A/c : Sun | 6000",
,,Goodwill  | 2000 | Sundry Creditors | 25000,
,,Wages | 2000 | Bank Overdraft | 10000,
,,Current A/c : Moon | 4000 | Reserve Fund | 5000,
,,8% Debentures (Purchased on 1/10/18) | 8000 | Providend Fund | 5000,
,,Providend Fund Investment | 3500 |  | 0,
,,Stock of Postal stamps | 500 |  | 0,
,, | 118000 |  | 118000,
,,Adjustments :,
,,"1. Partners are entitled to get salary ₹ 6,000 p.a. in addition to their profit & loss sharing. ",
,,"2. Depreciation on Land & Building, Furniture & Machinery @ 10%, 5% and 3% respectively. ",
,,3. Interest on Capital 5% p.a.,
,,"4. Closing Stock ₹ 60,743.",
,,"5. Wages included ₹ 1,000 as advance given to workers.",
,,6. Interest due but not paid ₹ 800.,
,,"7. Total Net Profit amounted to ₹ 38,113.",
Chapter 1 : Partnership Final Accounts,Exercise_Problems,"From the following Trial Balance of M/S Mitesh and Mangesh, you are required to prepare Trading and Profit and Loss Account for the year ended 31st  March, 2019 and Balance Sheet as on that date.","G.P. ₹.99,000, N.P. ₹. 63,684, Balance Sheet Total ₹.3,30,364"
,,"Trial Balance as on 31st March, 2019",
,,Debit Balance | Amount ₹. | Credit Balance | Amount ₹.,
,,Stock as on (1/4/2018)  | 25000 | Sundry Creditors  | 38000,
,,Building  | 48500 | Sales  | 175000,
,,Carriage  | 1780 | Capital : Mitesh | 150000,
,,Factory Insurance  | 2700 | Capital : Mangesh  | 50000,
,,Postage  | 1600 | Outstanding Salaries  | 2000,
,,Bills Receivable  | 13700 | Bills Payable | 18000,
,,Sundry Debtors | 52200 | Return outword | 1800,
,,Return Inward | 1600 | Current A/c : Mitesh | 3000,
,,Purchases | 68900 | Current A/c : Mangesh | 2000,
,,Audit Fees | 1800 |  | 0,
,,Loose tools | 32000 |  | 0,
,,Manufacturing Expenses  | 1820 |  | 0,
,,Electricity Charges | 2600 |  | 0,
,,General Expenses | 3400 |  | 0,
,,Export duty | 1000 |  | 0,
,,Cash in hand | 75000 |  | 0,
,,Bank Balance | 29000 |  | 0,
,,Conveyance | 4100 |  | 0,
,,Furniture | 64000 |  | 0,
,,Salaries | 2000 |  | 0,
,,"Rent, Rate & Taxes  | 3700 |  | 0",
,,Drawings : Mitesh | 1200 |  | 0,
,,Drawings : Mangesh | 2200 |  | 0,
,, | 439800 |  | 439800,
,,Adjustments :,
,,1. Mitesh and Mangesh are sharing Profit and losses in the ratio 3:1.,
,,2. Partners are entitled to get Commission @ 1% each on Gross Profit.,
,,"3. The closing stock is valued at ₹. 23,700.",
,,4. Outstanding Expenses - Audit Fees ₹. 400; carriage ₹. 600.,
,,"5. Building is valued at ₹. 46,500.",
,,6. Furniture is depreciated by 5%.,
,,7. Provide Interest on Partner's capital at 2.5% pa.,
,,8. Goods of ₹. 900 were taken by Mangesh for his personal use.,
,,"9. Write off ₹. 1,000 as Bad Debts and maintain R.D.D at 3% on Sundry Debtors.",
Chapter 1 : Partnership Final Accounts,Exercise_Problems,"From the following Trial Balance and adjustments given below of Reena and Aarti, you are required to prepare Trading and Profit and Loss Account for the year ended 31st March, 2019 and Balance Sheet as on that date.","G.P. ₹. 23,900, N.P. ₹. 13,592, Balance Sheet Total ₹. 1,16,507"
,,"Trial Balance as on 31st March, 2019",
,,Debit Balance | Amount ₹. | Credit Balance | Amount ₹.,
,,Purchases  | 35500 | Sales | 58200,
,,Sundry Debtors | 40000 | Sundry Creditors  | 25700,
,,Sales Returns | 1000 | Purchases Returns  | 500,
,,Opening Stock  | 18100 | R.D.D | 800,
,,Bad debts | 500 | Discount  | 50,
,,Land & Building | 25000 | Commission | 250,
,,Furniture | 20000 | Capital : Reena | 50000,
,,Discount | 1000 | Capital : Aarti | 30000,
,,Royalties | 700 |  | 0,
,,Rent | 1900 |  | 0,
,,Salaries | 3000 |  | 0,
,,Wages | 800 |  | 0,
,,Insurance | 1500 |  | 0,
,,Drawings : Reena | 2000 |  | 0,
,,Drawings : Aarti | 1000 |  | 0,
,,Cash at Bank | 11500 |  | 0,
,,Cash in Hand | 2000 |  | 0,
,, | 165500 |  | 165500,
,,Adjustments :,
,,"1. Closing Stock valued at ₹. 22,000.",
,,"2. Write off ₹. 900 for Bad & doubtful debts and create a provision for Reserve For doubtful debts ₹. 1,000.",
,,3. Create a provision for Discount on Debtors @ 3% and creditors @ 5%.,
,,4. Outstanding Expenses - Wages ₹. 700 and Salaries ₹. 800.,
,,"5. Insurance is paid for 15 months, w.e.f. 1st April 2018 ",
,,6. Depreciate Land and Building @ 5%,
,,7. Reena & Aarti are Sharing Profits & Losses in their Capital Ratio.,
Chapter 1 : Partnership Final Accounts,Exercise_Problems,"From the following Trial Balance of M/S Meera and Madhav. Prepare Trading and Profit and Loss Account for the year ended 31st March, 2019 and Balance Sheet as on that date.","G.P. ₹. 1,20500, N.P. ₹. 96,445, Balance Sheet Total ₹. 3,30,445"
,,"Trial Balance as on 31st March, 2019",
,,Debit Balance | Amount ₹. | Credit Balance | Amount ₹.,
,,Stock (1/4/2018) | 25000 | Bank overdraft | 5000,
,,Debtors | 80500 | Bills Payable  | 12500,
,,Bills Receivable | 10000 | Creditors | 68000,
,,Purchases | 208500 | Sales  | 325000,
,,Returns | 1000 | Outstanding Rent  | 2000,
,,Carriage Inward | 3000 | Unpaid Wages | 1500,
,,Carriage Outwards | 4500 | Capital : Meera | 75000,
,,Motor Vehicle | 55000 | Capital : Madhav | 75000,
,,General Expenses | 1800 | Purchase Return | 1000,
,,Export Duty | 900 |  | 0,
,,Advertisement (For 3 years from 1/10/2018) | 4800 |  | 0,
,,Printing & Stationary  | 1200 |  | 0,
,,Drawings : Meera  | 3500 |  | 0,
,,Drawings : Madhav | 2000 |  | 0,
,,Leasehold Premises  | 110000 |  | 0,
,,Cash at Bank  | 45000 |  | 0,
,,Furniture | 8300 |  | 0,
,, | 565000 |  | 565000,
,,Adjustments :,
,,"1. Closing Stock is valued at ₹. 32,000.",
,,"2. Provide Provision for Doubtful Debts ₹. 2,000.",
,,3. Create reserve for Discount on Debtors @ 3%. ,
,,"4. Valued of Leasehold Premises on 31st March 2019 ₹. 1,00,000.",
,,5. Out standing Expenses Printing & Stationary ₹. 500.,
Chapter 1 : Partnership Final Accounts,Exercise_Problems,Sucheta & Gayatri are Partners sharing Profit and Losses in the ratio 3:2. From the following Trial Balance and additional information you are required to prepare Trading and Profit and Loss Account for the year year ended 31st March 2019 and Balance Sheet as on that date.,"G.P. ₹ 1,15,850, N.P. ₹ 97,365 Balance Sheet Total ₹ 2,80,815"
,,"Trial Balance as on 31st March, 2019",
,,Particulars | Debit ₹ | Credit ₹,
,,Purchases & Sales  | 65000 | 185500,
,,Works Manager's Salary | 2300 | 0,
,,Capital - Sucheta | 0 | 75000,
,,Gayatri | 0 | 40000,
,,Opening Stock | 18700 | 0,
,,Debtors & Creditors | 47500 | 35000,
,,Wages & Salaries | 4000 | 0,
,,Bills Receivable | 22000 | 0,
,,Bills Payable | 0 | 27300,
,,Discount | 0 | 400,
,,Motive Power  | 1350 | 0,
,,Custom duty | 1500 | 0,
,,Interest  | 0 | 1300,
,,Unproductive Wages | 3000 | 0,
,,Audit Fees | 2500 | 0,
,,Rent | 1800 | 0,
,,Conveyance | 2000 | 0,
,,Goodwill | 25000 | 0,
,,Copyrights  | 20000 | 0,
,,Building | 88000 | 0,
,,Partner (Sucheta's) Loan | 0 | 6150,
,,Investments | 40000 | 0,
,,Cash at Bank | 26000 | 0,
,," | 3,70,650 | 3,70,650",
,,Adjustments :,
,,"1. Stock on 31st March 2019 was valued at ₹ 19,700.",
,,"2. Goods costing ₹ 3,000 distributed as Free sample.",
,,3. Motive Power includes ₹ 500 paid for deposit of Power Meter.,
,,4. Depreciate Building @ 5%.,
,,"5. Write of ₹ 2,000 for Bad debts and maintain R.D.D at 3% on Debtors.",
,,"6. Bills Receivable included dishonoured of Bill of ₹ 4,000.",
Chapter 1 : Partnership Final Accounts,Exercise_Problems,"Archana and Prerana are partners, sharing Profits and Losses in the ratio 2:1 with the help of following Trial Balance and Adjustments given below. You are required to prepare Trading and Profit and Loss Account for the year ended 31st  March 2019 and Balance Sheet as on that date.","G.P. ₹ 8,290, N.P. ₹ 825 Balance Sheet Total ₹ 87,525"
,,"Trial Balance as on 31st March, 2019",
,,Debit Balance | Amount ₹ | Credit Balance | Amount ₹,
,,Stock  (1/4/2018) | 8560 | Capital : Archana  | 40000,
,,Patents | 2000 | Capital : Prerana | 20000,
,,Sundry Debtors | 18500 | Other Loans | 3000,
,,Stock of Stationary | 3000 | Reserve Fund  | 1000,
,,Trade Mark | 2000 | Sundry Creditors  | 17500,
,,Bills Receivable | 6300 | Bills Payable  | 5000,
,,Electricity charges | 1450 | Purchase Return  | 1000,
,,Wages | 950 | R.D.D | 500,
,,Heating & Lighting  | 1000 | Sales | 30200,
,,Trade Expenses | 850 | Interest | 310,
,,Sales Return | 400 |  | 0,
,,Land & Building | 22000 |  | 0,
,,Furniture | 13000 |  | 0,
,,Cash at Bank | 5000 |  | 0,
,,Investments | 7500 |  | 0,
,,Drawings : Archana | 1200 |  | 0,
,,Drawings : Prerana | 900 |  | 0,
,,Bad debts | 200 |  | 0,
,,Purchases | 23700 |  | 0,
,," | 1,18,510 |  | 1,18,510",
,,Adjustments :,
,,"1. Stock on 31st March 2019 is valued at Cost Price ₹ 12,000 and Markct Price ₹ 17,000. ",
,,2. Our customer Mr. Shekhar failed to pay his dues of ₹ 800.,
,,3. 1/8th of Patents to be witten off. ,
,,"4. A part of Furniture ₹ 5,000 is purchased on 1st Oct 2018.",
,,5. Depreciation on Land & Building 10% and on Furniture 5%.,
,,6. Outstanding Expenses Wages ₹ 300 and Electricity Charges ₹ 200.,
,,7. Allow Interest on Capital 3%.,
Chapter 1 : Partnership Final Accounts,Exercise_Problems,"Satish and Pramod are Partners. Prepare Trading Account and Profit and Loss Account for the year 31st March, 2019. You have to find out Gross Profit and Net Profit only.","G.P. ₹ 56,200, N.P. ₹ 48,964 "
,,"Trial Balance as on 31st March, 2019",
,,Debit Balance | Amount ₹ | Credit Balance | Amount ₹,
,,Stock (1/4/218) | 8700 | Sales | 68000,
,,Purchases | 18300 | Dividend  | 2000,
,,Wages | 1000 | Purchases Return  | 500,
,,Insurance  | 800 | Sundry Creditors  | 13000,
,,Unproductive Wages | 1400 | 10% Bank Loan | 8000,
,,Warehouse Rent | 600 | (w.e.f. 1/7/2018) | 0,
,,Carriage Outward | 1200 | Other Receipts | 1000,
,,Sales Return  | 600 |  | 0,
,,Export Duty | 1400 |  | 0,
,,Customs Duty | 800 |  | 0,
,,Sundry Debtors | 40000 |  | 0,
,,Investments | 15700 |  | 0,
,,Factory Rent | 1600 |  | 0,
,,Postage & Telegram | 400 |  | 0,
,, | 92500 |  | 92500,
,,Adjustments :,
,,"1. The Closing Stock is valued at ₹ 15,400.",
,,2. Outstanding Wages ₹ 500.,
,,3. Create provision for Bad debts ₹ 800 and maintain R.D.D 3% on Sundry Debtors.,
,,"4. Goods of  ₹ 1,800 distributed as a Free sample.",
,,"5. Goods of  ₹ 2,000 were sold and delivered on 31st March 2019 but no entry is passed in the Books of Account.",
Chapter 1 : Partnership Final Accounts,Exercise_Problems,Nana and Nani are Partners in Partnership Firm sharing Profits and Losses equally. You are required to give effects of Adjustments in Profit & Loss A/c and Balance Sheet with the help of following information.,
,,"Trial Balance as on 31st March, 2019",
,,Debit Balance | Amount ₹ | Credit Balance | Amount ₹,
,,Insurance | 15000 | Capital A/c : Nana | 50000,
,,"Land and building (Addition of ₹. 20,000 w.e.f 1st July 2018) | 50000 | Capital A/c : Nani | 50000",
,,Salaries | 5000 | 10 % Bank loan taken on 1st Oct. 2018  | 30000,
,,Export Duty | 2500 | Interest | 1500,
,,Interest | 1000 | Bills Payable | 8000,
,,Furniture | 40000 |  | 0,
,,Debtors | 26000 |  | 0,
,, | 139500 |  | 139500,
,,Adjustments :,
,,"1. Gross profit amounted to ₹ 34,500.",
,,2. Insurance Paid for 15 months w.e.f. 1.4.2018.,
,,3. Depreciate Land and Building at 10% p.a. and Furniture at 5% p.a.,
,,"4. Write off ₹ 1,000 for Bad Debts and maintain R.D.D at 5% on Sundry Debtors.",
,,"5. Closing Stock is valued at ₹ 34,500.",
Chapter 1 : Partnership Final Accounts,Exercise_Problems,Sun and Moon are Partners in Partnership Firm sharing Profits and Losses equally. You are required to give effects of Adjustments with the help of following information.,"Balance Sheet Total ₹ 1,68,263, Current A/c Balance Sun ₹ 32,731, Moon ₹ 22,732"
,,"Trial Balance as on 31st March, 2019",
,,Debit Balance | Amount ₹ | Credit Balance | Amount ₹,
,,Land & Building | 40000 | Capital A/C : Sun | 33500,
,,Furniture  | 18000 | Capital A/C : Moon | 33500,
,,Machinery (Purchased on 1/7/18) | 40000 | Current A/c : Sun | 6000,
,,Goodwill  | 2000 | Sundry Creditors | 25000,
,,Wages | 2000 | Bank Overdraft | 10000,
,,Current A/c : Moon | 4000 | Reserve Fund | 5000,
,,8% Debentures (Purchased on 1/10/18) | 8000 | Providend Fund | 5000,
,,Providend Fund Investment | 3500 |  | 0,
,,Stock of Postal stamps | 500 |  | 0,
,," | 1,18,000 |  | 1,18,000",
,,Adjustments :,
,,"1. Partners are entitled to get salary ₹ 6,000 p.a. in addition to their profit & loss sharing.",
,,"2. Depreciation on Land & Building, Furniture & Machinery @ 10%, 5% and 3% respectively.",
,,3. Interest on Capital 5% p.a.,
,,"4. Closing Stock ₹ 60,743.",
,,"5. Wages included ₹ 1,000 as advance given to workers.",
,,6. Interest due but not paid ₹ 800.,
,,"7. Total Net Profit amounted to ₹ 38,113.",
Chapter 1 : Partnership Final Accounts,Exercise_Problems,"Kshipra and Manisha are Partners sharing Profit and Losses in their Capital Ratio. You are required to prepare Trading Account and Profit and Loss Account for the year ended 31st March, 2019 and Balance Sheet as on that date. ",
,,"Trial Balance as on 31st March, 2019",
,,Debit Balance | Amount ₹ | Credit Balance | Amount ₹,
,,Sundry Debtors | 28000 | Sales  | 120000,
,,Purchases | 55000 | Rent | 1800,
,,Furniture | 38500 | Sundry Creditors | 38500,
,,Plant & Machinery  | 60000 | Purchase Return | 1000,
,,Wages | 800 | Discount  | 500,
,,Salaries | 3500 | Bills Payable  | 9000,
,,Discount | 800 | Capital A/c : Kshipra  | 90000,
,,Bills Receivable | 14400 | Capital A/c : Manisha | 30000,
,,Carriage Outward | 1000 | Current A/c : Kshipra | 5000,
,,Postage  | 500 | Current A/c : Manisha | 3000,
,,Sales Return | 500 |  | 0,
,,Cash in Hand | 4000 |  | 0,
,,Cash at Bank | 47000 |  | 0,
,,Insurance | 2000 |  | 0,
,,Opening Stock | 17800 |  | 0,
,,Trade Expenses | 1500 |  | 0,
,,Ware house Rent | 2500 |  | 0,
,,Advertisement | 1000 |  | 0,
,,Building | 20000 |  | 0,
,, | 298800 |  | 298800,
,,Adjustments :,
,,"1. Stock on 31st March 2019 was at ₹ 37,000.",
,,"2. Sales includes, sale of machinery of ₹ 2,000, which is sold on 1st April 2018.",
,,3. Depreciation on Fixed assets @ 5%.,
,,4. Each Partners is entitled to get Commission at 1% of Gross Profit and Interest on Capital 5% p.a.,
,,5. Outstanding Expenses Wages ₹ 200 & Salaries ₹ 500.,
,,6. Create provision for doubtful debts @ 3% on Sundry Debtors.,
Chapter 1 : Partnership Final Accounts,Extra_Practical,"Heena, Rekha and Jaya were partners sharing profits and Losses in the ratio of 2:2:1 respectively. ",
,,"The trial balance of their firm on 31st March, 2002 was as follows:",
,,Particulars | Debit ₹ | Credit ₹,
,,Building | 60000 | ,
,,Purchases and Sales | 100000 | 180000,
,,Opening stock  | 16000 | ,
,,Carriage Inward | 4000 | ,
,,Return Inward | 8000 | ,
,,Sundry Debtors and Creditors | 20400 | 60000,
,,Current A/c: Heena |  | 8000,
,,Current A/c: Rekha |  | 5100,
,,Current A/c: Jaya |  | 1000,
,,Travelling Expenses | 9800 | ,
,,Wages | 14000 | ,
,,Electricity & Insurance | 3800 | ,
,,Salaries | 19400 | ,
,,Prepaid Insurance | 200 | ,
,,Bills Receivable | 15600 | ,
,,Vehicles | 20000 | ,
,,Audit Fees | 1400 | ,
,,Bad debts | 8200 | ,
,,Rent Received |  | 8800,
,,Cash at Bank | 11800 | ,
,,Sundry Income |  | 700,
,,Machinery | 51000 | ,
,,Capital Account: Heena |  | 40000,
,,Capital Account: Rekha |  | 40000,
,,Capital Account: Jaya |  | 20000,
,,TOTAL | 363600 | 343600,
,,"Prepare a Trading and Profit and Loss Account for the year ended on 31st March, 2002 and the Balance sheet as on that date after taking into consideration the additional information.",
,,Adjustments:,
,,"1. Goods worth ₹.12,000 were destroyed by fire and insurance company admitted the claim for ₹.10,600.",
,,"2. Outstanding expenses were: Wages ₹.3,000 and Electricity ₹.800.",
,,"3. Closing Stock was valued at ₹.25,000/- ",
,,4. Depreciate building by 5% and machinery by 10%.,
,,"5. An advance of ₹.1,400/- to a worker was included in salaries.",
Chapter 1 : Partnership Final Accounts,Extra_Practical,"From the following trial balance of Karna and Karma being equal partners, you are required to prepare Trading and Profit and Loss Account for the year ended on 31st March, 2006 and a Balance Sheet as on that date after taking into consideration the additional information. ",
,,"The trial balance of their firm on 31st March, 2006 was as follows:",
,,Particulars | Debit ₹ | Credit ₹,
,,Opening Stock   | 120000 | ,
,,Drawings: Karna | 2000 | ,
,,Drawings: Karma | 3000 | ,
,,Capital A/cs: Karna |  | 44000,
,,Capital A/cs: Karma |  | 36000,
,,Insurance   | 1200 | ,
,,Reserve Fund  |  | 43200,
,,Salaries and Wages  | 5000 | ,
,,Carriage  | 9000 | ,
,,Purchases and Sales  | 130000 | 260000,
,,Bills Receivable and Bills Payable  | 1200 | 2000,
,,Rent  | 7000 | ,
,,Reserve for Bad and Doubtful Debts  |  | 1600,
,,Debtors and Creditors  | 36000 | 32000,
,,Returns  | 2000 | 1000,
,,Machinery  | 24000 | ,
,,Travelling Expenses  | 6000 | ,
,,Cash at Bank  | 2000 | ,
,,Building   | 60000 | ,
,,Office Expenses  | 5400 | ,
,,Advertisement (for 3 years)  | 6000 | ,
,,TOTAL | 419800 | 419800,
,,Adjustments:,
,,"1. Closing Stock Cost ₹.50,000 and Market Price ₹.60,000. ",
,,2. Allow interest on Capital at 10% p.a. ,
,,3. Prepaid Insurance ₹.100.,
,,4. Provide for R.B.D.D. at 5% on debtors. ,
,,"5. Uninsured goods costing ₹.6,000 were destroyed by fire. ",
,,"6. Outstanding expenses – Salaries ₹.2,000 and Rent ₹.1,000. ",
,,7. Provide depreciation on Machinery at 20% and Building 2 ½%. ,
